,brandName,storeName,phoneNumber,street,suburb,state,country,postcode,latitude,longitude,openingHours,services
186,Choice The Discount Store,Choice The Discount Store - Kawana Waters,0754526954,134 POINT CARTWRIGHT DRIVE ,BUDDINA,QLD,Australia,4575,-26.701113356604,153.129450955023,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
187,Choice The Discount Store,Choice The Discount Store - Kingaroy,0741636699,"18 AVOCA STREET, SHOP 4 ",KINGAROY,QLD,Australia,4610,-26.544676910408,151.839897330776,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
188,Choice The Discount Store,Choice The Discount Store - Lismore,0266228821,HOME CONSORTIUM T03 28 BRUXNER HWY,SOUTH LISMORE,NSW,Australia,2480,-28.824707082857,153.266429944554,"['MONDAY: 9:00 AM - 5:30 PM', 'TUESDAY: 9:00 AM - 5:30 PM', 'WEDNESDAY: 9:00 AM - 5:30 PM', 'THURSDAY: 9:00 AM - 9:00 PM', 'FRIDAY: 9:00 AM - 5:30 PM', 'SATURDAY: 9:00AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
189,Choice The Discount Store,Choice The Discount Store - Loganholme,0738012084,"HYPERDOME SHOPPING CENTRE, SHOP 200 MANDEW STREET",LOGANHOLME,QLD,Australia,4129,-27.66133,153.17427,"['MONDAY: 9:00 AM - 5:30 PM', 'TUESDAY: 9:00 AM - 5:30 PM', 'WEDNESDAY: 9:00 AM - 5:30 PM', 'THURSDAY: 9:00 AM - 9:00 PM', 'FRIDAY: 9:00 AM - 5:30 PM', 'SATURDAY: 9:00 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
190,Choice The Discount Store,Choice The Discount Store - Maryborough,N/A,"65, shop MM1/85 Bazaar St, Maryborough QLD 4650 ",MARYBOROUGH,QLD,Australia,4650,-25.543336493682,152.699491340993,"['MONDAY: - 8:30 AM - 5:30 PM', 'TUESDAY: - 8:30 AM - 5:30 PM', 'WEDNESDAY: - 8:30 AM - 5:30 PM', 'THURSDAY: - 8:30 AM - 6:00 PM', 'FRIDAY: - 8:30 AM - 5:30 PM', 'SATURDAY: - 8:30 AM - 5:00 PM', 'SUNDAY: - 9:00 AM - 5:00 PM']",['N/A']
191,Choice The Discount Store,Choice The Discount Store - Mermaid Waters,0755277057,"Q SUPER CENTRE, MARKERI STREET, SHOP B1, ",MERMAID WATERS,QLD,Australia,4218,-28.04786,153.40859,"['MONDAY: - 8:30 AM - 5:30 PM', 'TUESDAY: - 8:30 AM - 5:30 PM', 'WEDNESDAY: - 8:30 AM - 5:30 PM', 'THURSDAY: - 8:30 AM - 7:00 PM', 'FRIDAY: - 8:30 AM - 5:30 PM', 'SATURDAY: - 8:30 AM - 5:00 PM', 'SUNDAY: - 9:00 AM - 5:00 PM']",['N/A']
192,Choice The Discount Store,Choice The Discount Store - Morayfield,0754329439,"Morayfield Village retail centre Shop 10, 171 Morayfield Rd",MORAYFIELD,QLD,Australia,4506,-27.105970553637,152.948163632745,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
193,Choice The Discount Store,Choice The Discount Store - Noosaville,0754740712,18 THOMAS ST ,NOOSAVILLE,QLD,Australia,4566,-26.400914572366,153.062107978883,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 9:00 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
194,Choice The Discount Store,Choice The Discount Store - Pialba (Hervey Bay),0741241674,Pialba Place Shopping Centre Main street,PIALBA,QLD,Australia,4655,-25.28284,152.83907,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM', 'https://g.page/r/']",['N/A']
195,Choice The Discount Store,Choice The Discount Store - Redbank,0732882594,SHOP 3341 REDBANK PLAZA 1 COLLINGWOOD DRIVE ,REDBANK,QLD,Australia,4301,-27.605628961514,152.867851002546,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 8:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
196,Choice The Discount Store,Choice The Discount Store - Richlands,0732714686,144 PINE ROAD ,RICHLANDS,QLD,Australia,4077,-27.594634419118,152.950253911759,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 8:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 9:00 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
197,Choice The Discount Store,Choice The Discount Store - Rothwell,0732040325,747-757 DECEPTION BAY ROAD ,ROTHWELL,QLD,Australia,4022,-27.212772554351,153.045904167484,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
198,Choice The Discount Store,Choice The Discount Store - Southport,0755913142,"AUSTRALIA FAIR METRO, SHOP M002 YOUNG STREET",AUSTRALIA FAIR,QLD,Australia,4215,-27.9691,153.41454,"['MONDAY: 9:00 AM - 5:30 PM', 'TUESDAY: 9:00 AM - 5:30 PM', 'WEDNESDAY: 9:00 AM - 5:30 PM', 'THURSDAY: 9:00 AM - 7:00 PM', 'FRIDAY: 9:00 AM - 5:30 PM', 'SATURDAY: 9:00 AM - 5:00 PM', 'SUNDAY: 10:00 AM - 4:00 PM']",['N/A']
199,Choice The Discount Store,Choice The Discount Store - Townsville (Kirwan),0747239895,45 CARTHEW STREET ,KIRWAN,QLD,Australia,4817,-19.314863518493,146.724430037068,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 6:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
200,Choice The Discount Store,Choice The Discount Store - Tweed Heads South,0755242124,"TWEED HUB, SHOP 10 – 11 118 – 130 MINJUNGBAL DRIVE",TWEED HEADS,NSW,Australia,2485,-28.207216215416,153.545429806013,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 9:00 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:00 PM']",['N/A']
201,Choice The Discount Store,Choice The Discount Store - Underwood,0732902927,"SHOP S3.02, ZONE UNDERWOOD ",UNDERWOOD,QLD,Australia,4119,-27.61983,153.11378,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 7:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 4:30 PM']",['N/A']
202,Choice The Discount Store,Choice The Discount Store - Upper Coomera,0755000789,HOME CONSORTIUM T05 13 COOMERA GRAND DRIVE,UPPER COOMERA,QLD,Australia,4209,-27.850833198917,153.29858678081,"['MONDAY: 8:30 AM - 5:30 PM', 'TUESDAY: 8:30 AM - 5:30 PM', 'WEDNESDAY: 8:30 AM - 5:30 PM', 'THURSDAY: 8:30 AM - 9:00 PM', 'FRIDAY: 8:30 AM - 5:30 PM', 'SATURDAY: 8:30 AM - 5:00 PM', 'SUNDAY: 9:00 AM - 5:00 PM']",['N/A']
203,Choice The Discount Store,Choice The Discount Store - Windsor,N/A,N/A,Windsor,N/A,Australia,N/A,N/A,N/A,['N/A'],['N/A']
